job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,Salary_Scaled,month,quarter,month_name
AI00026,Robotics Engineer,109779,2,3,3,Israel,0,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",3,1970-01-01 00:00:00.000000006,6,2024-08-01,2024-10-02,1146,8.8,DataVision Ltd,0.21076120640740256,8,3,August
AI00027,ML Ops Engineer,80979,2,2,0,Australia,2,India,50,"Hadoop, Linux, Git, Scala",2,1970-01-01 00:00:00.000000002,9,2024-11-18,2025-01-18,2109,7.7,TechCorp Inc,0.13219632490943214,11,4,November
AI00028,Data Analyst,52997,2,2,3,Austria,1,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",3,1970-01-01 00:00:00.000000002,6,2025-01-10,2025-02-20,2101,8.6,Predictive Systems,0.055862904281786044,1,1,January
AI00029,Head of AI,42819,2,0,0,Ireland,1,Ireland,50,"Python, Scala, NLP, Mathematics, Git",3,1970-01-01 00:00:00.000000000,7,2024-10-08,2024-11-20,2187,8.6,Cognitive Computing,0.02809785692462136,10,4,October
AI00030,ML Ops Engineer,82083,2,2,0,Israel,0,Israel,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",2,1970-01-01 00:00:00.000000002,11,2024-01-18,2024-02-25,1212,6.3,Future Systems,0.1352079787001877,1,1,January
AI00031,Head of AI,67488,0,0,2,Netherlands,1,Netherlands,100,"Deep Learning, GCP, AWS, Linux, Tableau",2,1970-01-01 00:00:00.000000001,11,2024-05-16,2024-07-26,887,6.0,Advanced Robotics,0.09539358823272663,5,2,May
AI00032,Research Scientist,68624,2,0,2,Denmark,1,Denmark,0,"Azure, Python, Spark",2,1970-01-01 00:00:00.000000001,10,2024-01-31,2024-03-08,1910,9.2,Cloud AI Solutions,0.0984925363362577,1,1,January
AI00033,Robotics Engineer,146852,2,3,2,Switzerland,2,Switzerland,50,"NLP, Scala, Python",3,1970-01-01 00:00:00.000000007,10,2024-08-28,2024-09-20,684,5.3,Cognitive Computing,0.3118943957051198,8,3,August
AI00034,ML Ops Engineer,178183,2,1,1,Finland,1,Finland,0,"Tableau, Azure, GCP, Linux, Python",0,1970-01-01 00:00:00.000000016,2,2024-03-01,2024-03-19,1850,5.7,Predictive Systems,0.3973637117541792,3,1,March
AI00035,Deep Learning Engineer,150864,2,3,1,Sweden,0,Singapore,0,"R, GCP, MLOps, Linux",3,1970-01-01 00:00:00.000000008,1,2024-10-26,2024-12-25,1504,7.9,Smart Analytics,0.32283892016935095,10,4,October
AI00036,Head of AI,126942,2,1,0,Finland,0,Netherlands,0,"Git, Hadoop, Data Visualization",0,1970-01-01 00:00:00.000000010,4,2024-01-31,2024-02-26,1261,9.9,Autonomous Tech,0.2575809654750993,1,1,January
AI00037,AI Architect,53752,2,2,3,Japan,1,Japan,100,"Data Visualization, Tableau, AWS, Mathematics, Python",0,1970-01-01 00:00:00.000000002,13,2024-10-17,2024-11-12,998,6.1,TechCorp Inc,0.05792250447383353,10,4,October
AI00038,Robotics Engineer,111381,2,1,0,Israel,2,Israel,0,"Linux, PyTorch, SQL, Statistics",2,1970-01-01 00:00:00.000000018,6,2024-01-14,2024-03-12,1030,8.1,Autonomous Tech,0.21513137794072718,1,1,January
AI00039,AI Specialist,41430,2,0,3,China,1,China,50,"Tableau, Docker, GCP",1,1970-01-01 00:00:00.000000001,7,2024-06-15,2024-07-29,2323,8.0,Future Systems,0.02430873816070883,6,2,June
AI00040,Data Engineer,166080,0,1,1,Netherlands,0,Netherlands,100,"Computer Vision, Azure, Tableau",0,1970-01-01 00:00:00.000000015,6,2024-03-01,2024-05-01,831,5.1,DeepTech Ventures,0.364347365894112,3,1,March
AI00041,Data Scientist,96956,2,2,2,United States,1,China,0,"Data Visualization, Azure, Spark, MLOps",1,1970-01-01 00:00:00.000000002,13,2024-02-24,2024-03-09,761,5.3,DataVision Ltd,0.17578073850988607,2,1,February
AI00042,AI Architect,196954,2,3,1,United States,0,United States,50,"Java, Mathematics, SQL",1,1970-01-01 00:00:00.000000008,4,2025-03-17,2025-04-16,2290,7.5,DataVision Ltd,0.44857001003884595,3,1,March
AI00043,AI Specialist,56745,2,0,3,Finland,0,Finland,100,"Spark, Mathematics, GCP",0,1970-01-01 00:00:00.000000001,13,2025-02-01,2025-04-11,502,5.5,Quantum Computing Inc,0.06608725066561913,2,1,February
AI00044,Machine Learning Researcher,113455,2,3,2,Singapore,1,Singapore,50,"Hadoop, Docker, Python, Azure",0,1970-01-01 00:00:00.000000008,11,2024-04-24,2024-06-12,1281,8.0,AI Innovations,0.22078914058749072,4,2,April
AI00045,ML Ops Engineer,158808,0,3,3,Netherlands,1,Netherlands,50,"Docker, R, Linux",1,1970-01-01 00:00:00.000000005,9,2025-03-03,2025-05-03,1926,7.4,Future Systems,0.3445097333158745,3,1,March
AI00046,AI Research Scientist,174663,2,3,0,United States,1,Singapore,50,"Data Visualization, Statistics, R",0,1970-01-01 00:00:00.000000007,9,2024-01-10,2024-03-22,1151,5.4,DeepTech Ventures,0.38776133734887175,1,1,January
AI00047,AI Research Scientist,46753,2,0,0,India,2,India,50,"Scala, Java, Tableau",3,1970-01-01 00:00:00.000000001,8,2024-11-16,2024-12-18,2012,9.7,Quantum Computing Inc,0.03882960150146218,11,4,November
AI00048,AI Software Engineer,69020,2,2,1,China,0,China,0,"Java, Azure, GCP",1,1970-01-01 00:00:00.000000004,3,2024-09-05,2024-10-25,1584,8.8,TechCorp Inc,0.09957280345685479,9,3,September
AI00049,AI Specialist,288815,2,1,3,Switzerland,2,Switzerland,0,"Deep Learning, Git, Data Visualization, Linux, Java",1,1970-01-01 00:00:00.000000012,8,2024-08-08,2024-09-23,1930,7.2,Cognitive Computing,0.699161974597355,8,3,August
AI00050,AI Consultant,124871,2,1,1,Austria,1,Finland,50,"Hadoop, AWS, Linux, Docker, Statistics",3,1970-01-01 00:00:00.000000019,9,2025-03-10,2025-05-17,1556,8.0,Autonomous Tech,0.25193138667015846,3,1,March
AI00051,AI Architect,70391,0,2,2,Germany,2,Germany,0,"Deep Learning, SQL, Mathematics",3,1970-01-01 00:00:00.000000004,6,2024-08-16,2024-10-19,1974,9.2,TechCorp Inc,0.10331281916983108,8,3,August
AI00052,Research Scientist,115376,2,1,2,India,1,India,100,"Linux, R, Azure, Mathematics, Git",2,1970-01-01 00:00:00.000000017,12,2024-03-12,2024-04-14,2028,5.5,Autonomous Tech,0.22602952730129633,3,1,March
AI00053,Research Scientist,106579,2,2,3,United States,2,United States,100,"Docker, Tableau, Mathematics",0,1970-01-01 00:00:00.000000003,5,2024-02-24,2024-05-02,2028,5.4,Cognitive Computing,0.2020317751298503,2,1,February
AI00054,Data Scientist,135230,2,3,3,Norway,2,Norway,100,"R, PyTorch, Kubernetes, Computer Vision",3,1970-01-01 00:00:00.000000008,1,2024-07-07,2024-09-09,1219,7.5,DataVision Ltd,0.28019019248395965,7,3,July
AI00055,Research Scientist,67607,2,2,3,Israel,2,Israel,50,"Python, Tableau, TensorFlow, AWS",2,1970-01-01 00:00:00.000000004,9,2024-08-05,2024-08-26,1714,8.6,Quantum Computing Inc,0.09571821395836061,8,3,August
AI00056,AI Architect,88470,2,2,3,Canada,0,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",0,1970-01-01 00:00:00.000000003,10,2024-07-29,2024-09-27,1528,9.1,Autonomous Tech,0.15263137794072718,7,3,July
AI00057,Autonomous Systems Engineer,79863,2,2,1,India,0,India,100,"Python, Docker, GCP, Scala",0,1970-01-01 00:00:00.000000004,0,2024-09-28,2024-10-26,1325,5.6,Autonomous Tech,0.1291519357513858,9,3,September
AI00058,Machine Learning Engineer,60299,2,0,3,Israel,0,Israel,100,"Git, Linux, Python, TensorFlow, Mathematics",3,1970-01-01 00:00:00.000000000,4,2025-03-22,2025-05-01,1872,6.6,Advanced Robotics,0.07578237527825062,3,1,March
AI00059,Machine Learning Engineer,85645,0,2,2,Germany,1,Germany,0,"PyTorch, Computer Vision, R",0,1970-01-01 00:00:00.000000004,14,2024-02-09,2024-03-06,793,7.9,AI Innovations,0.14492492689101305,2,1,February
AI00060,AI Software Engineer,110222,1,3,1,United Kingdom,2,France,0,"R, Spark, AWS",0,1970-01-01 00:00:00.000000008,9,2024-03-20,2024-05-05,1945,9.0,TechCorp Inc,0.2119696870498887,3,1,March
AI00061,Data Scientist,49365,2,0,2,China,1,China,0,"Tableau, NLP, Azure, Statistics, PyTorch",0,1970-01-01 00:00:00.000000001,4,2024-06-22,2024-08-14,1907,10.0,Predictive Systems,0.04595499978176422,6,2,June
AI00062,Data Scientist,162296,2,3,3,Norway,2,Norway,50,"TensorFlow, Azure, Computer Vision, Data Visualization",1,1970-01-01 00:00:00.000000006,4,2024-06-05,2024-07-01,1714,6.2,Neural Networks Co,0.35402481340840647,6,2,June
AI00063,AI Consultant,102382,2,2,3,Switzerland,1,Switzerland,0,"TensorFlow, Scala, Docker, Statistics",3,1970-01-01 00:00:00.000000003,2,2024-03-23,2024-06-03,2199,5.8,Smart Analytics,0.19058258041988566,3,1,March
AI00064,AI Software Engineer,99972,2,2,3,Australia,1,Canada,50,"Java, R, Deep Learning, NLP, Azure",3,1970-01-01 00:00:00.000000004,12,2024-02-20,2024-03-15,799,6.5,Cloud AI Solutions,0.1840082274889791,2,1,February
AI00065,Data Engineer,64129,2,0,0,South Korea,0,South Korea,0,"Java, Git, Deep Learning",1,1970-01-01 00:00:00.000000000,8,2024-12-15,2025-02-11,909,7.1,Machine Intelligence Group,0.086230413338571,12,4,December
AI00066,AI Specialist,87938,2,3,2,Ireland,2,Ireland,100,"Mathematics, Spark, Python, AWS",3,1970-01-01 00:00:00.000000008,2,2024-12-15,2025-02-12,508,8.1,Machine Intelligence Group,0.1511801099908341,12,4,December
AI00067,Autonomous Systems Engineer,71405,2,2,1,Israel,0,Israel,0,"SQL, Java, MLOps, Linux, PyTorch",0,1970-01-01 00:00:00.000000004,11,2024-09-01,2024-10-29,1153,9.5,Advanced Robotics,0.10607895770590546,9,3,September
AI00068,Machine Learning Engineer,316182,2,1,3,Denmark,1,Canada,0,"Python, Scala, Statistics, Git",0,1970-01-01 00:00:00.000000012,4,2025-02-09,2025-02-23,2452,7.0,Digital Transformation LLC,0.7738177076513465,2,1,February
AI00069,Machine Learning Researcher,72459,0,0,3,Germany,1,Germany,100,"Hadoop, Python, Kubernetes, Azure",1,1970-01-01 00:00:00.000000000,5,2024-08-30,2024-09-15,583,9.6,Quantum Computing Inc,0.10895421413294924,8,3,August
AI00070,Principal Data Scientist,78338,0,2,2,France,0,France,100,"MLOps, Kubernetes, Git, Python",0,1970-01-01 00:00:00.000000003,12,2024-10-31,2024-12-15,548,8.7,Cognitive Computing,0.1249918161581773,10,4,October
AI00071,NLP Engineer,51907,2,2,1,Israel,1,Singapore,100,"AWS, Kubernetes, Azure",1,1970-01-01 00:00:00.000000004,7,2024-02-14,2024-04-02,912,8.2,Neural Networks Co,0.052889441752869804,2,1,February
AI00072,Autonomous Systems Engineer,122831,0,3,1,France,2,France,100,"PyTorch, Kubernetes, Git, SQL",2,1970-01-01 00:00:00.000000007,10,2024-05-31,2024-06-19,761,8.4,Algorithmic Solutions,0.24636637423071886,5,2,May
AI00073,Machine Learning Researcher,124820,2,2,1,Norway,2,Norway,50,"NLP, Azure, Statistics, Spark, Mathematics",0,1970-01-01 00:00:00.000000003,10,2024-08-02,2024-10-01,2077,9.9,Cognitive Computing,0.25179226135917243,8,3,August
AI00074,Autonomous Systems Engineer,134200,1,3,3,United Kingdom,2,United Kingdom,50,"Linux, R, Tableau",3,1970-01-01 00:00:00.000000009,11,2024-11-29,2025-01-09,2396,7.8,Machine Intelligence Group,0.27738040679149756,11,4,November
AI00075,Data Engineer,51920,2,0,3,Sweden,2,Finland,100,"Scala, R, Tableau, Data Visualization",3,1970-01-01 00:00:00.000000000,1,2025-04-08,2025-05-13,1778,7.9,Digital Transformation LLC,0.05292490506743486,4,2,April
AI00076,Data Engineer,56427,2,0,1,Singapore,1,Singapore,100,"Mathematics, Kubernetes, Spark",2,1970-01-01 00:00:00.000000000,3,2024-11-16,2025-01-25,1366,5.2,DeepTech Ventures,0.06521976343241238,11,4,November
AI00077,AI Product Manager,213783,2,1,2,Canada,2,Canada,100,"Kubernetes, Spark, Statistics, Scala",1,1970-01-01 00:00:00.000000016,3,2024-09-19,2024-10-06,2383,9.2,Quantum Computing Inc,0.4944786347169482,9,3,September
AI00078,ML Ops Engineer,59728,2,2,1,Israel,1,Israel,50,"MLOps, SQL, Statistics",0,1970-01-01 00:00:00.000000002,4,2024-06-10,2024-08-13,1350,7.5,DataVision Ltd,0.0742247173846624,6,2,June
AI00079,Computer Vision Engineer,119432,2,3,0,India,0,India,0,"Scala, MLOps, NLP",3,1970-01-01 00:00:00.000000006,12,2024-04-20,2024-06-08,1008,6.3,Autonomous Tech,0.23709408144559382,4,2,April
AI00080,AI Research Scientist,284486,2,1,0,United States,1,United States,0,"PyTorch, Linux, SQL",2,1970-01-01 00:00:00.000000012,1,2025-02-13,2025-03-10,2231,7.0,TechCorp Inc,0.6873526908471913,2,1,February
AI00081,Data Analyst,157597,0,1,0,France,0,France,50,"Git, Kubernetes, TensorFlow, R, Java",1,1970-01-01 00:00:00.000000017,8,2024-08-31,2024-09-15,639,8.4,Neural Networks Co,0.3412061891667758,8,3,August
AI00082,ML Ops Engineer,196942,2,1,0,Australia,0,Australia,100,"R, Tableau, SQL, MLOps, Docker",2,1970-01-01 00:00:00.000000019,5,2024-04-01,2024-04-16,826,7.5,TechCorp Inc,0.44853727467155513,4,2,April
AI00083,Machine Learning Researcher,207548,2,1,0,Canada,1,Canada,0,"NLP, Azure, Spark, Data Visualization",3,1970-01-01 00:00:00.000000010,3,2024-02-05,2024-03-11,2292,6.7,Cognitive Computing,0.47746988346209246,2,1,February
AI00084,NLP Engineer,68838,2,2,1,Sweden,2,Sweden,50,"Java, SQL, Spark, Tableau, Azure",3,1970-01-01 00:00:00.000000003,0,2024-06-20,2024-08-12,804,7.4,TechCorp Inc,0.09907631705294401,6,2,June
AI00085,ML Ops Engineer,125666,2,1,1,Finland,0,Finland,100,"Docker, Python, Git, Kubernetes, Java",3,1970-01-01 00:00:00.000000013,13,2024-06-19,2024-08-22,757,8.4,TechCorp Inc,0.25410010475317535,6,2,June
AI00086,NLP Engineer,73174,2,0,2,Denmark,1,Denmark,50,"Git, MLOps, Hadoop, Python, Spark",0,1970-01-01 00:00:00.000000000,4,2024-07-14,2024-09-08,678,6.4,Machine Intelligence Group,0.11090469643402733,7,3,July
AI00087,Autonomous Systems Engineer,33314,2,0,0,Israel,2,India,50,"SQL, Kubernetes, Docker",1,1970-01-01 00:00:00.000000000,8,2025-04-16,2025-06-15,1207,8.3,Future Systems,0.0021687180830168916,4,2,April
AI00088,AI Specialist,69914,2,0,2,United States,2,United States,100,"R, NLP, SQL, GCP",0,1970-01-01 00:00:00.000000000,14,2025-02-15,2025-04-15,1517,7.0,Smart Analytics,0.10201158832002095,2,1,February
AI00089,Principal Data Scientist,152118,0,1,1,France,1,France,50,"Spark, SQL, Python, Mathematics, Linux",2,1970-01-01 00:00:00.000000011,0,2024-05-20,2024-07-14,1294,6.9,AI Innovations,0.32625976605124174,5,2,May
AI00090,AI Software Engineer,78014,0,0,0,France,0,France,50,"PyTorch, Hadoop, Scala, Computer Vision",3,1970-01-01 00:00:00.000000000,10,2024-11-19,2024-12-07,841,6.8,Digital Transformation LLC,0.12410796124132513,11,4,November
AI00091,Research Scientist,48466,2,0,3,Canada,2,Canada,100,"Hadoop, Spark, Kubernetes, Python",1,1970-01-01 00:00:00.000000000,0,2025-03-10,2025-05-14,1146,5.7,Predictive Systems,0.04350257518222688,3,1,March
AI00092,Data Analyst,97997,0,3,0,France,2,France,50,"Hadoop, Python, TensorFlow, R, Statistics",3,1970-01-01 00:00:00.000000008,12,2024-06-19,2024-07-16,2419,6.0,Algorithmic Solutions,0.1786205316223648,6,2,June
AI00093,Principal Data Scientist,128341,2,3,1,Singapore,2,Singapore,0,"Computer Vision, PyTorch, GCP, Linux",1,1970-01-01 00:00:00.000000009,4,2025-04-26,2025-06-15,2457,6.9,Neural Networks Co,0.2613973637117542,4,2,April
AI00094,AI Research Scientist,111528,2,2,1,United States,0,United States,0,"Java, Hadoop, Mathematics",3,1970-01-01 00:00:00.000000003,10,2024-03-01,2024-05-08,1299,9.5,Predictive Systems,0.21553238619003973,3,1,March
AI00095,Machine Learning Researcher,138945,2,1,3,Canada,2,Canada,50,"Linux, R, NLP, PyTorch, Git",2,1970-01-01 00:00:00.000000019,2,2024-07-10,2024-09-15,1559,8.9,DeepTech Ventures,0.290324516607743,7,3,July
AI00096,NLP Engineer,98688,2,3,2,Israel,1,Israel,50,"Statistics, Python, TensorFlow, PyTorch, Git",1,1970-01-01 00:00:00.000000008,8,2024-04-10,2024-05-03,598,8.6,Cognitive Computing,0.18050554318886125,4,2,April
AI00097,Data Analyst,109029,0,3,2,France,2,France,0,"Kubernetes, Scala, Java",1,1970-01-01 00:00:00.000000006,12,2025-04-05,2025-06-13,2049,6.1,Predictive Systems,0.20871524595172625,4,2,April
AI00098,NLP Engineer,84797,2,2,2,Canada,1,Canada,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",2,1970-01-01 00:00:00.000000004,10,2024-12-04,2025-01-03,1909,6.2,Machine Intelligence Group,0.1426116276024617,12,4,December
AI00099,Machine Learning Researcher,290199,2,1,0,Switzerland,0,Denmark,50,"Python, AWS, Kubernetes, Deep Learning",2,1970-01-01 00:00:00.000000012,11,2025-01-12,2025-03-07,1137,5.6,Smart Analytics,0.7029374536248963,1,1,January
AI00100,AI Research Scientist,195691,2,3,0,United States,0,United States,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",3,1970-01-01 00:00:00.000000008,14,2024-04-20,2024-06-22,916,8.7,Advanced Robotics,0.44512461263148706,4,2,April
AI00101,AI Product Manager,193448,2,3,2,Norway,0,Norway,100,"Scala, Git, Java",0,1970-01-01 00:00:00.000000009,1,2025-01-02,2025-03-11,579,6.6,Cognitive Computing,0.43900582689537776,1,1,January
AI00102,AI Product Manager,138466,2,1,3,Israel,0,Israel,100,"Azure, AWS, PyTorch, GCP, Hadoop",0,1970-01-01 00:00:00.000000016,6,2024-01-25,2024-04-04,1690,9.5,Smart Analytics,0.2890178298633844,1,1,January
AI00103,Data Analyst,91577,0,2,0,Netherlands,1,Netherlands,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",1,1970-01-01 00:00:00.000000003,14,2024-01-27,2024-02-28,859,6.5,Algorithmic Solutions,0.16110711012177556,1,1,January
AI00104,Computer Vision Engineer,92875,2,2,2,Sweden,2,Sweden,0,"SQL, Python, Deep Learning",3,1970-01-01 00:00:00.000000003,10,2024-07-21,2024-09-27,701,5.3,Digital Transformation LLC,0.1646479856837327,7,3,July
AI00105,Data Engineer,213287,1,1,2,United Kingdom,2,United Kingdom,100,"TensorFlow, GCP, PyTorch, Spark",2,1970-01-01 00:00:00.000000013,7,2025-03-03,2025-04-03,1102,6.3,Cloud AI Solutions,0.4931255728689276,3,1,March
AI00106,NLP Engineer,62171,2,2,2,Japan,2,Japan,0,"Git, SQL, PyTorch, Mathematics",1,1970-01-01 00:00:00.000000002,1,2024-09-15,2024-11-07,2162,8.1,AI Innovations,0.0808890925756187,9,3,September
AI00107,AI Research Scientist,152658,2,1,1,South Korea,0,United Kingdom,50,"Data Visualization, PyTorch, Spark, TensorFlow",0,1970-01-01 00:00:00.000000016,0,2024-01-28,2024-03-17,548,9.0,TechCorp Inc,0.3277328575793287,1,1,January
AI00108,ML Ops Engineer,95085,2,2,2,Norway,1,Norway,100,"TensorFlow, SQL, NLP, Computer Vision, Git",0,1970-01-01 00:00:00.000000002,11,2024-03-20,2024-04-20,2298,6.5,Predictive Systems,0.17067674915979225,3,1,March
AI00109,Deep Learning Engineer,86750,0,2,1,France,2,France,100,"Java, R, Git, Mathematics, Spark",3,1970-01-01 00:00:00.000000002,6,2024-12-13,2025-02-24,1397,7.1,AI Innovations,0.1479393086290428,12,4,December
AI00110,AI Specialist,64261,2,2,3,Israel,1,Israel,0,"PyTorch, Docker, GCP",2,1970-01-01 00:00:00.000000002,14,2024-09-04,2024-10-10,2385,8.8,TechCorp Inc,0.08659050237877003,9,3,September
AI00111,Machine Learning Researcher,205357,2,1,3,United States,2,United States,100,"Computer Vision, Hadoop, Git, AWS",1,1970-01-01 00:00:00.000000018,2,2024-03-08,2024-05-13,1646,6.6,Predictive Systems,0.4714929509842434,3,1,March
AI00112,AI Architect,165676,0,1,0,France,2,France,50,"TensorFlow, Linux, SQL, Hadoop",0,1970-01-01 00:00:00.000000018,6,2024-05-13,2024-06-25,926,7.8,Neural Networks Co,0.363245275195321,5,2,May
AI00113,Computer Vision Engineer,114658,0,3,0,France,1,France,100,"SQL, Scala, Python",1,1970-01-01 00:00:00.000000009,13,2024-03-18,2024-04-20,1560,8.2,Algorithmic Solutions,0.22407086115839553,3,1,March
AI00114,Data Scientist,143149,0,3,1,France,0,France,50,"NLP, Computer Vision, Mathematics, Statistics, R",2,1970-01-01 00:00:00.000000006,10,2024-03-13,2024-05-10,1169,9.1,Digital Transformation LLC,0.3017928069486273,3,1,March
